Investment ticker symbol,Exchange,Currency,Starting investment dollar value,Ending investment dollar value,Starting share price,Ending share price,Starting shareholding,Ending shareholding,Dollar value of shares purchased (including the value of transferred shares),Dollar value of shares sold (including the value of transferred shares),Greatest number of shares held,Number of shares purchased,Number of shares sold,Number of shares gained through corporate actions,Number of shares disposed of through corporate actions,Dividends and distributions,Transaction fees,Potential additional corporate action impact,Split or consolidation share holding adjustment,NZ withholding tax (NZD),US withholding tax (USD),AU withholding tax (AUD),Foreign withholding tax (USD),Imputation credits (NZD),ADR depositary fees (USD)
ZIM,NYSE,USD,0.0000,0.0000,58.8600,9.7700,0,0,180.1890520943,36.66879433,2.17241775,2.17241775,2.17241775,0,0,58.025726952500000000000000,1.60226359,False,0,7.20,0,0,0,0,0
KO,NYSE,USD,0.0000,300.3960,59.2100,59.0200,0,5.08973222,304.40343944070423,0,5.08973222,5.08973222,0,0,0,2.7864718178000000000000000000,2.84430929,False,0,0.83,0.41797077,0,0,0,0
NVDA,NASDAQ,USD,936.6622,1594.8194,294.1100,500.7700,3.18473422,3.18473422,0,0,3.18473422,0,0,0,0,0.8917255816000000000000000000,0,False,0,0.22,0.13375880,0,0,0,0
AVGO,NASDAQ,USD,0.0000,236.3827,665.4100,1147.0000,0,0.20608779,221.4229512138,0,0.20608779,0.20608779,0,0,0,0,4.28851815,False,0,0,0,0,0,0,0
MCD,NYSE,USD,0.0000,164.4222,268.0700,290.2300,0,0.56652373,157.84157078094478,0,0.56652373,0.56652373,0,0,0,0.477595278400000000000000,0.44302254,False,0,0.13,0.07163929,0,0,0,0
SQQQ,NASDAQ,USD,0.0000,0.0000,5.9400,13.9300,0,0,225.3874,134.92537314,4,4,4,0,0,0,1.80722686,False,0,0,0,0,0,0,0
COST,NASDAQ,USD,122.9237,544.1847,567.7000,681.2400,0.21652941,0.79881497,304.403365113424,0,0.79881497,0.58228556,0,0,0,2.5574560653000000000000000000,2.84430929,False,0,0.71,0.38361841,0,0,0,0
BRK.B,NYSE,USD,0.0000,0.0000,299.0000,359.6500,0,0,297.0149234563,315.9912438556,0.99972357,0.99972357,0.99972357,0,0,0,6.49253731,False,0,0,0,0,0,0,0
MNST,NASDAQ,USD,0.0000,806.9386,96.0400,55.3000,0,14.59201844,828.562690816641,0,14.59201844,14.59201844,0,0,0,0,2.48699257,False,0,0,0,0,0,0,0
GME,NYSE,USD,0.0000,17.8600,148.3900,17.8600,0,1,99.0049738354,27.04345688,2.22924804,0.55731201,1.22924804,0,0,0,0.49751243,False,1.67193603,0,0,0,0,0,0
MTAV,ASX,AUD,0.0000,0.0000,0.0000,0.0000,0,0.94945121,9.9004974408,0,0.94945121,0.94945121,0,0,0,0,0.04975124,False,0,0,0,0,0,0,0
TMC,NASDAQ,USD,0.0000,0.0000,2.0800,1.1500,0,0,90.0,57.0,30,30.0,30,0,0,0,0,False,0,0,0,0,0,0,0
OPRA,NASDAQ,USD,0.0000,0.0000,7.0600,13.2000,0,0,360.0299999322,417.5100289744,21.21034282,21.21034282,21.21034282,0,0,8.4841371280000000000000000000,10.0,False,0,4.12,0,0,0,0,0.2121034282
MSFT,NASDAQ,USD,959.5995,2031.4550,336.3200,372.6500,2.85323353,5.45137526,840.8067273529341,0,5.45137526,2.59814173,0,0,0,15.0321234450000000000000000000,1.8025739,False,0,4.33,2.25481850,0,0,0,0
OPL,ASX,AUD,0.0000,0.0000,0.1150,0.0350,0,0,19.8009950396,13.86104305372,331.67495866,331.67495866,331.67495866,0,0,0,0.16880769,False,0,0,0,0,0,0,0
AAPL,NASDAQ,USD,0.0000,846.6549,177.5700,195.8900,0,4.32209364,771.7472556792544,0,4.32209364,4.32209364,0,0,0,1.5352284615579900000000000000,3.79955678,False,0,0.45,0.23028427,0,0,0,0
BLK,NYSE,USD,0.0000,0.0000,915.5600,796.4400,0,0,111.8756129512,95.0242603327,0.14914549,0.14914549,0.14914549,0,0,2.201387432400000000000000,2.36765519,False,0,0.64,0.33020812,0,0,0,0
BX,NYSE,USD,1297.1536,0.0000,129.3900,125.9600,10.02514531,0,0,824.5807744025,10.02514531,0,10.02514531,0,0,66.8677192177000000000000000000,5.0,False,0,18.94,10.03015788,0,0,0,0
WTC,ASX,AUD,0.0000,0.0000,58.5800,73.5800,0,0,1013.8693650142,909.289286641,10.35100061,12.41873879,12.41873879,0,0,0.92143254,18.57676108,False,0,0.32,0,0,0,0,0
MDB,NASDAQ,USD,0.0000,221.3672,529.3500,412.7400,0,0.5363356,221.422955754,0,0.5363356,0.5363356,0,0,0,0,4.28851815,False,0,0,0,0,0,0,0
ASML,NASDAQ,USD,897.1023,0.0000,796.1400,742.0600,1.12681471,0,0,626.9495643698,1.12681471,0,1.12681471,0,0,5.161490898058967000000000,4.26092788,False,0,1.44,0,0,0.77422363470884505,0,0
PEP,NASDAQ,USD,0.0000,837.1482,173.7100,168.9100,0,4.95617913,885.7910961630826,0,4.95617913,4.95617913,0,0,0,9.479330717400000000000000,6.73033423,False,0,2.78,1.42189961,0,0,0,0
AMD,NASDAQ,USD,457.2107,0.0000,143.9000,138.9000,3.17728047,0,0,377.4829631675,3.17728047,0,3.17728047,0,0,0,1.40773288,False,0,0,0,0,0,0,0
